word,response,cost,win
Spell,Water,3,
Temple,Robots,10,
Cosmic Seed,Feather,1,
Mech,Echo,11,
Lion,Human Spirit,23,0
Eclipse,Rock,2,
Eternium,Time,8,
Smoke,Robots,10,
Lion,Bacteria,6,0
Orbital,Cure,6,
Mountain,Volcano,16,
Elixir,Gamma-Ray Burst,22,
Soulstone,Supernova,19,
Jungle,Tsunami,18,
Tank,Sandstorm,13,
Void Crystal,Human Spirit,23,
Nebula,Bacteria,6,
Constellation,Supermassive Black Hole,35,
Cauldron,Robots,10,
Mutant,Earth's Core,25,
Lantern,Virus,7,
Amulet,Robots,10,
Hologram,Nuclear Bomb,16,
Dark Matter,Wind,13,
Synthetics,Volcano,16,
Castle,Plague,20,
Mutant,Apocalyptic Meteor,24,
Lantern,Earthquake,9,
Compass,Sandstorm,13,
Statue,Twig,3,
Robot,Vaccine,9,
Torch,Rebirth,20,
Spear,Rebirth,20,
Lighthouse,Antimatter,19,
Void Crystal,Water,3,
Forest,Shield,4,
Cosmic Seed,Antimatter,19,
Blaster,Whale,17,
Candle,Volcano,16,1
Lantern,Bacteria,6,
Orbital,Volcano,16,
Power Core,Shadow,7,
Scroll,Paper,2,
Void,Apocalyptic Meteor,24,
Helmet,Neutron Star,26,
Wand,Feather,1,
Dark Matter,Virus,7,
Synthetics,Shield,4,
Probe,Supermassive Black Hole,35,
Nanobot,Pebble,1,
Cauldron,Storm,9,
Ai,Bacteria,6,
Wormhole,Shadow,7,
Bridge,Tectonic Shift,21,
Asteroid,Gravity,10,
Portal,Flame,5,
Amulet,Plague,20,
Vortex,Plague,20,
Smoke,Wind,13,
Celestial,Star,18,
Serpent,Sword,4,
Amulet,Tsunami,18,
Meteor,Robots,10,
River,Echo,11,
Book,Supernova,19,
Warp Drive,Laser,14,
Crystal,Fate,8,
Moonbase,Storm,9,
Talisman,Ice,13,
Machine,Ice,13,
Obelisk,Pebble,1,
Candle,Antimatter,19,1
Starship,Laser,14,
Spell,Paper,2,
Colony,Peace,14,
Beacon,Tectonic Shift,21,
Witch,Entropy,45,
Firefly,Water,3,
Teleport,Earthquake,9,
Titan,Cure,6,
Starlight,Coal,1,
Dreamscape,Earthquake,9,
River,Gravity,10,
Blaster,Tectonic Shift,21,
Witch,Light,7,
Wizard,Sound,8,
Chronosphere,Logic,10,
Shrine,Shield,4,
Smoke,Plague,20,
Hyperdrive,Pebble,1,
Crown,Human Spirit,23,
Nanobot,Entropy,45,
Spaceship,Earthquake,9,
Hydra,Earthquake,9,
Spear,Neutron Star,26,
Astral Gate,Peace,14,
Time Crystal,Apocalyptic Meteor,24,
Ash,Fate,8,
Control Panel,Coal,1,
Cryostasis,Gamma-Ray Burst,22,
Fountain,Earthquake,9,
Chimera,Tectonic Shift,21,
Planet,Supernova,19,
Antigrav,Magma,14,
Space Station,Star,18,
Chronosphere,Tsunami,18,
Plasma,Karma,12,
Energy Cell,Whale,17,
Fog,Laser,14,
Plasma,Feather,1,
Starship,Peace,14,
Laser,Enlightenment,15,
Dragon,Leaf,2,
Storm,Neutron Star,26,
Fusion Reactor,Stone,11,
Singularity,Enlightenment,15,
Oracle,Earth's Core,25,
Oracle,Pebble,1,
Cave,Nuclear Bomb,16,
Eclipse,Gravity,10,
Astral Gate,Light,7,
Solar Flare,Earth's Core,25,
Meteor,Disease,6,
Teleport,Nuclear Bomb,16,
Rune,Sandstorm,13,
Quantum Core,Stone,11,
Talisman,Nuclear Bomb,16,
Fountain,Virus,7,
Oracle,Flame,5,
Robot,Whale,17,
Warp Drive,Stone,11,
Hyperdrive,Coal,1,
Neural Net,Laser,14,
Hologram,Fate,8,
Phoenix,Moon,17,
Mutant,Gravity,10,
Galaxy,Thunder,12,
Prism,War,15,
Energy Cell,Virus,7,
Colony,Sound,8,
River,Sword,4,
Mana Core,Explosion,15,
Dragon,Rope,5,
Lantern,Star,18,
Neutrino,Magma,14,
Bridge,Nuclear Bomb,16,
Castle,Nuclear Bomb,16,
Gravity Well,Paper,2,
Meteor,Supermassive Black Hole,35,
Shrine,Time,8,
Singularity,Gravity,10,
Void,Pebble,1,
Seer,Antimatter,19,
Android,Feather,1,
Scroll,War,15,
Forest,Laser,14,
Mech,Supernova,19,
Meteor,Laser,14,
Probe,Supernova,19,
Compass,Earth,17,
Probe,Storm,9,
Mutant,Volcano,16,
River,Rebirth,20,
Golem,Tsunami,18,
Void,Fate,8,
Constellation,Nuclear Bomb,16,
Asteroid,Stone,11,
Teleport,Fate,8,
Gravity Well,Rebirth,20,
Clone,Apocalyptic Meteor,24,
Starship,Ice,13,
Cauldron,Rebirth,20,
Eclipse,Cure,6,
Chimera,Tsunami,18,
Throne,Echo,11,
Asteroid,Coal,1,
Beacon,Virus,7,
Spell,Rock,2,
Titan,Apocalyptic Meteor,24,
Prism,Storm,9,
Sand,Robots,10,
Pandemic,Shadow,7,
Forest,Sword,4,
Synthetics,Antimatter,19,
Pandemic,Neutron Star,26,
Tank,Water,3,
Witch,Cure,6,
Ai,Gamma-Ray Burst,22,
Torch,Storm,9,
Alien,War,15,
Event Horizon,Paper,2,
Time Crystal,Rebirth,20,
Mountain,Sound,8,
Helmet,Rebirth,20,
Tank,Robots,10,
Book,Echo,11,
Oracle,Stone,11,
Helmet,Gamma-Ray Burst,22,
Fog,Sword,4,
Solar Flare,Plague,20,
Pegasus,Nuclear Bomb,16,
Ai,Vaccine,9,
Laser,Sandstorm,13,
Oracle,Storm,9,
Nanobot,Sound,8,
Hydra,Feather,1,
Time Rift,Tectonic Shift,21,
Cauldron,Virus,7,
Moonbase,Gamma-Ray Burst,22,
Planet,Vaccine,9,
Temple,Whale,17,
Ghost,Supernova,19,
Throne,Cure,6,
Helmet,Peace,14,
Golem,Peace,14,
Sand,Gun,5,
Cybernetic,Virus,7,
Castle,Tectonic Shift,21,
Cybernetic,Light,7,
Warp Drive,Bacteria,6,
Drone,Light,7,
Rune,Tectonic Shift,21,
Robot,Sword,4,
Serpent,Supernova,19,
Castle,Wind,13,
Chimera,Pebble,1,
Spell,Feather,1,
Chronosphere,Enlightenment,15,
Energy Cell,Gravity,10,
Shrine,Laser,14,
Knight,Neutron Star,26,
Starbase,Light,7,
Cave,Feather,1,
Power Core,Fate,8,
Crown,Fate,8,
Chimera,Stone,11,
Celestial,Karma,12,
Eternium,Earthquake,9,
Spell,Neutron Star,26,
Canyon,Peace,14,
Cybernetic,Supernova,19,
Mutant,Gun,5,
Robot,Gamma-Ray Burst,22,
Bridge,Laser,14,
Beacon,Whale,17,
Talisman,Earth's Core,25,
Lion,Karma,12,1
Helmet,Shield,4,
Mirror,Disease,6,
Witch,Shield,4,
Helmet,Supermassive Black Hole,35,
Clone,Neutron Star,26,
Eternium,Coal,1,
Lantern,Twig,3,
Chronosphere,Twig,3,
Spear,Apocalyptic Meteor,24,
Amulet,Laser,14,
Compass,Supernova,19,
Ai,Tsunami,18,
Mind Gate,Sword,4,
Ghost,Gravity,10,
Hammer,Robots,10,1
Mind Gate,Human Spirit,23,
Flood,Antimatter,19,1
Mirror,Logic,10,
Nanobot,Coal,1,
Temple,Logic,10,
Lighthouse,Light,7,
Control Panel,Earthquake,9,
Wand,Shadow,7,
Celestial,Gun,5,
Crystal,Vaccine,9,
Drone,Leaf,2,
Soulstone,Vaccine,9,
Bell,Laser,14,
Helmet,Storm,9,
Tank,Coal,1,
Beacon,Light,7,
Singularity,Earth,17,
Starship,Sound,8,
Power Core,Gamma-Ray Burst,22,
Pegasus,Enlightenment,15,
Ash,Gamma-Ray Burst,22,
Smoke,Fate,8,
Mech,Sound,8,
Hyperdrive,Whale,17,
Mind Gate,Storm,9,
Clone,Gamma-Ray Burst,22,
Time Crystal,Feather,1,
Neutrino,Gun,5,
Thunderstorm,Coal,1,
Wand,Echo,11,
Throne,Whale,17,
Nebula,Moon,17,
Spaceship,Supermassive Black Hole,35,
Canyon,Plague,20,
Prism,Human Spirit,23,
Comet,Gun,5,
Astral Gate,Leaf,2,
Machine,Karma,12,
Portal,Human Spirit,23,
Command Deck,Peace,14,
Spaceship,Rebirth,20,
Nebula,Supernova,19,
Power Core,Antimatter,19,
Compass,Gravity,10,
Energy Cell,Supermassive Black Hole,35,
Spaceship,Whale,17,
Lantern,Fate,8,
