word,response,cost,win
Peace,Neutron Star,26,1
Neutron Star,Tsunami,18,0
Tsunami,Neutron Star,26,1
Neutron Star,Feather,1,0
Feather,Neutron Star,26,1
Neutron Star,Paper,2,0
Paper,Neutron Star,26,1
Earth's Core,Neutron Star,26,1
Neutron Star,Earth's Core,25,0
Earth's Core,Virus,7,0
Virus,Earth's Core,25,1
Earth's Core,Peace,14,0
Peace,Earth's Core,25,1
Feather,Tsunami,18,1
Tsunami,Feather,1,0
Feather,Water,3,1
Water,Feather,1,0
Feather,Paper,2,1
Paper,Feather,1,0
Feather,Vaccine,9,1
Vaccine,Feather,1,0
Feather,Virus,7,1
Virus,Feather,1,0
Coal,Peace,14,1
Peace,Coal,1,0
Coal,Tsunami,18,1
Tsunami,Coal,1,0
Coal,Water,3,1
Water,Coal,1,0
Coal,Feather,1,0
Feather,Coal,1,1
Paper,Neutron Star,26,1
Neutron Star,Paper,2,0
Paper,Paper,2,1
Paper,Paper,2,0
Gun,Peace,14,1
Peace,Gun,5,0
Gun,Tsunami,18,1
Tsunami,Gun,5,0
Twig,Virus,7,0
Virus,Twig,3,1
Twig,Feather,1,0
Feather,Twig,3,1
Twig,Vaccine,9,1
Vaccine,Twig,3,0
Sword,Water,3,0
Water,Sword,4,1
Sword,Peace,14,1
Peace,Sword,4,0
Sword,Tsunami,18,1
Tsunami,Sword,4,0
Sword,Paper,2,0
Paper,Sword,4,1
Cure,Neutron Star,26,1
Neutron Star,Cure,6,0
Cure,Virus,7,0
Virus,Cure,6,1
Cure,Gun,5,1
Gun,Cure,6,0
Time,Water,3,1
Water,Time,8,0
Time,Tsunami,18,0
Tsunami,Time,8,1
Time,Paper,2,0
Paper,Time,8,1
Website,Peace,14,
Whale,Whale,17,1
Whale,Whale,17,0
Earth,Time,8,1
Time,Earth,17,0
Volcano,Cure,6,0
Cure,Volcano,16,1
Shield,Earth's Core,25,1
Earth's Core,Shield,4,0
Tectonic Shift,Coal,1,0
Coal,Tectonic Shift,21,1
Shadow,Sword,4,0
Sword,Shadow,7,1
Leaf,Whale,17,1
Whale,Leaf,2,0
Magma,Time,8,1
Time,Magma,14,0
Twig,Cure,6,0
Cure,Twig,3,1
Tsunami,Shield,4,0
Shield,Tsunami,18,1
Human Spirit,Volcano,16,1
Volcano,Human Spirit,23,0
Heart,Magma,14,1
Heart,Shadow,7,0
Heart,Sword,4,1
Heart,Tectonic Shift,21,1
Heart,Leaf,2,0
Mouse,Earth,17,1
Mouse,Human Spirit,23,1
Mouse,Shadow,7,1
Keyboard,Time,8,0
Keyboard,Tectonic Shift,21,1
Stone,Magma,14,1
Magma,Stone,11,0
Sand,Earth,17,1
Sand,Human Spirit,23,1
Sand,Leaf,2,0
Stick,Shadow,7,0
Stick,Tectonic Shift,21,1
Stick,Time,8,1
Plant,Earth,17,1
Plant,Human Spirit,23,1
Plant,Leaf,2,0
Dust,Stone,11,1
Ash,Leaf,2,1
Moss,Volcano,16,1
Candle,Cure,6,1
Chalk,Sword,4,1
Glass,Whale,17,1
Dew,Stone,11,1
Hail,Leaf,2,0
Parasite,Volcano,16,1
Luck,Human Spirit,23,1
Tornado,Coal,1,0
Marble,Twig,3,0
Reflection,Stone,11,1
Lightning,Sword,4,0
Frost,Peace,14,1
Atomic Bomb,Leaf,2,0
Forest,Volcano,16,1
Galaxy,Twig,3,0
Hurricane,Stone,11,0
Hypernova,Human Spirit,23,1
Mantle,Time,8,0
Comet,Leaf,2,0
Wisdom,Volcano,16,1
Conflict,Whale,17,1
